step_reverse,image_index,true_class,start_pred,sample_pred,start_correct,sample_correct,pred_unchanged
3,0,0,0,0,True,True,True
3,1,0,0,0,True,True,True
3,2,0,0,0,True,True,True
3,3,217,220,220,False,False,True
3,4,217,217,217,True,True,True
3,5,217,217,217,True,True,True
3,6,482,482,482,True,True,True
3,7,482,482,482,True,True,True
3,8,482,482,482,True,True,True
3,9,491,491,491,True,True,True
3,10,491,491,491,True,True,True
3,11,491,491,491,True,True,True
3,12,497,663,562,False,False,False
3,13,497,663,663,False,False,True
3,14,497,497,497,True,True,True
3,15,566,566,566,True,True,True
3,16,566,566,566,True,True,True
3,17,566,566,566,True,True,True
3,18,569,569,569,True,True,True
3,19,569,569,569,True,True,True
3,20,569,569,675,True,False,False
3,21,571,571,571,True,True,True
3,22,571,571,571,True,True,True
3,23,571,571,571,True,True,True
3,24,574,574,574,True,True,True
3,25,574,574,574,True,True,True
3,26,574,574,574,True,True,True
3,27,701,701,701,True,True,True
3,28,701,978,978,False,False,True
3,29,701,701,701,True,True,True
6,0,0,0,0,True,True,True
6,1,0,0,0,True,True,True
6,2,0,0,0,True,True,True
6,3,217,220,232,False,False,False
6,4,217,217,217,True,True,True
6,5,217,217,217,True,True,True
6,6,482,482,482,True,True,True
6,7,482,482,848,True,False,False
6,8,482,482,482,True,True,True
6,9,491,491,491,True,True,True
6,10,491,491,491,True,True,True
6,11,491,491,634,True,False,False
6,12,497,663,562,False,False,False
6,13,497,663,663,False,False,True
6,14,497,497,497,True,True,True
6,15,566,566,566,True,True,True
6,16,566,566,566,True,True,True
6,17,566,566,566,True,True,True
6,18,569,569,867,True,False,False
6,19,569,569,569,True,True,True
6,20,569,569,675,True,False,False
6,21,571,571,571,True,True,True
6,22,571,571,571,True,True,True
6,23,571,571,571,True,True,True
6,24,574,574,574,True,True,True
6,25,574,574,574,True,True,True
6,26,574,574,574,True,True,True
6,27,701,701,701,True,True,True
6,28,701,978,975,False,False,False
6,29,701,701,701,True,True,True
10,0,0,0,150,True,False,False
10,1,0,0,0,True,True,True
10,2,0,0,0,True,True,True
10,3,217,220,232,False,False,False
10,4,217,217,217,True,True,True
10,5,217,217,217,True,True,True
10,6,482,482,482,True,True,True
10,7,482,482,848,True,False,False
