step_reverse,layer,depth,metric,image_index,value
3,features.0,0,L2,0,125881.2109375
3,features.0,0,L2,1,173285.296875
3,features.0,0,L2,2,107552.109375
3,features.0,0,L2,3,128145.625
3,features.0,0,L2,4,133374.421875
3,features.0,0,L2,5,61415.08984375
3,features.0,0,L2,6,73950.3203125
3,features.0,0,L2,7,73259.6953125
3,features.0,0,L2,8,59429.6015625
3,features.0,0,L2,9,260872.171875
3,features.0,0,L2,10,63595.78125
3,features.0,0,L2,11,255868.921875
3,features.0,0,L2,12,95715.15625
3,features.0,0,L2,13,93174.0078125
3,features.0,0,L2,14,50950.015625
3,features.0,0,L2,15,111880.53125
3,features.0,0,L2,16,140150.03125
3,features.0,0,L2,17,95436.3046875
3,features.0,0,L2,18,49984.80859375
3,features.0,0,L2,19,121460.8828125
3,features.0,0,L2,20,201494.625
3,features.0,0,L2,21,73408.71875
3,features.0,0,L2,22,199324.53125
3,features.0,0,L2,23,146672.734375
3,features.0,0,L2,24,16573.455078125
3,features.0,0,L2,25,108791.5859375
3,features.0,0,L2,26,26849.640625
3,features.0,0,L2,27,41434.46875
3,features.0,0,L2,28,115832.4765625
3,features.0,0,L2,29,49697.40234375
3,features.0,0,L2_normalized,0,0.4340859651565552
3,features.0,0,L2_normalized,1,0.5896742343902588
3,features.0,0,L2_normalized,2,0.5962452292442322
3,features.0,0,L2_normalized,3,0.4551162123680115
3,features.0,0,L2_normalized,4,0.5489375591278076
3,features.0,0,L2_normalized,5,0.32140058279037476
3,features.0,0,L2_normalized,6,0.26916974782943726
3,features.0,0,L2_normalized,7,0.16919900476932526
3,features.0,0,L2_normalized,8,0.26802849769592285
3,features.0,0,L2_normalized,9,0.457215279340744
3,features.0,0,L2_normalized,10,0.20093515515327454
3,features.0,0,L2_normalized,11,0.6043154001235962
3,features.0,0,L2_normalized,12,0.4660398066043854
3,features.0,0,L2_normalized,13,0.15801922976970673
3,features.0,0,L2_normalized,14,0.2647817134857178
3,features.0,0,L2_normalized,15,0.3192276954650879
3,features.0,0,L2_normalized,16,0.3610829710960388
3,features.0,0,L2_normalized,17,0.3167440593242645
3,features.0,0,L2_normalized,18,0.2761281728744507
3,features.0,0,L2_normalized,19,0.32266974449157715
3,features.0,0,L2_normalized,20,0.4600858688354492
3,features.0,0,L2_normalized,21,0.32142847776412964
3,features.0,0,L2_normalized,22,0.34356480836868286
3,features.0,0,L2_normalized,23,0.38645389676094055
3,features.0,0,L2_normalized,24,0.05881451070308685
3,features.0,0,L2_normalized,25,0.3299882411956787
3,features.0,0,L2_normalized,26,0.1829397827386856
3,features.0,0,L2_normalized,27,0.21546927094459534
3,features.0,0,L2_normalized,28,0.42078840732574463
3,features.0,0,L2_normalized,29,0.15641331672668457
3,features.0,0,cosine,0,0.7874163389205933
3,features.0,0,cosine,1,0.7142608165740967
3,features.0,0,cosine,2,0.7141804695129395
3,features.0,0,cosine,3,0.7777249813079834
3,features.0,0,cosine,4,0.7345291972160339
3,features.0,0,cosine,5,0.8412795066833496
3,features.0,0,cosine,6,0.8666689395904541
3,features.0,0,cosine,7,0.9158741235733032
3,features.0,0,cosine,8,0.8675650954246521
3,features.0,0,cosine,9,0.7758240103721619
3,features.0,0,cosine,10,0.9006125926971436
