image_id,step_reverse,path
n03888257,0,images/n03888257_start.jpg
n03888257,3,images/n03888257_t3.jpg
n03888257,6,images/n03888257_t6.jpg
n03888257,10,images/n03888257_t10.jpg
n03888257,14,images/n03888257_t14.jpg
n03888257,18,images/n03888257_t18.jpg
n03888257,22,images/n03888257_t22.jpg
n03888257,25,images/n03888257_t25.jpg
n01440764,0,images/n01440764_start.jpg
n01440764,3,images/n01440764_t3.jpg
n01440764,6,images/n01440764_t6.jpg
n01440764,10,images/n01440764_t10.jpg
n01440764,14,images/n01440764_t14.jpg
n01440764,18,images/n01440764_t18.jpg
n01440764,22,images/n01440764_t22.jpg
n01440764,25,images/n01440764_t25.jpg
n03028079,0,images/n03028079_start.jpg
n03028079,3,images/n03028079_t3.jpg
n03028079,6,images/n03028079_t6.jpg
n03028079,10,images/n03028079_t10.jpg
n03028079,14,images/n03028079_t14.jpg
n03028079,18,images/n03028079_t18.jpg
n03028079,22,images/n03028079_t22.jpg
n03028079,25,images/n03028079_t25.jpg
n03394916,0,images/n03394916_start.jpg
n03394916,3,images/n03394916_t3.jpg
n03394916,6,images/n03394916_t6.jpg
n03394916,10,images/n03394916_t10.jpg
n03394916,14,images/n03394916_t14.jpg
n03394916,18,images/n03394916_t18.jpg
n03394916,22,images/n03394916_t22.jpg
n03394916,25,images/n03394916_t25.jpg
